Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Matt Ryan,ATL,31,8,16,16,373,534,4944,38,7,35,117,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,RyanMa00,2016
QB,Tom Brady,NWE,39,16,12,12,291,432,3554,28,2,28,64,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,BradTo00,2016
RB,Ezekiel Elliott,DAL,21,Rook,15,15,0,0,0,0,0,322,1631,15,32,363,1,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,ElliEz00,2016
RB,David Johnson,ARI,25,1,16,16,0,0,0,0,0,293,1239,16,80,879,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JohnDa08,2016
RB,Le'Veon Bell,PIT,24,3,12,12,0,1,0,0,0,261,1268,7,75,616,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,BellLe00,2016
RB,DeMarco Murray,TEN,28,5,16,16,1,2,10,1,0,293,1287,9,53,377,3,0,0.0,0,FW: 1st Tm All-Conf.,MurrDe00,2016
RB,Jay Ajayi,MIA,23,1,15,12,0,0,0,0,0,260,1272,8,27,151,0,0,0.0,0,PFF: 2nd Tm,AjayJa00,2016
FB,Kyle Juszczyk,BAL,25,3,16,7,0,0,0,0,0,5,22,1,37,266,0,3,0.0,0,PFF: 1st Tm,JuszKy00,2016
FB,James Develin,NWE,28,4,16,4,0,0,0,0,0,0,0,0,3,18,0,0,0.0,0,PFF: 2nd Tm,DeveJa00,2016
WR,Julio Jones,ATL,27,5,14,14,0,0,0,0,0,0,0,0,83,1409,6,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JoneJu02,2016
WR,Antonio Brown,PIT,28,6,15,15,0,0,0,0,0,3,9,0,106,1284,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,BrowAn04,2016
WR,Mike Evans,TAM,23,2,16,16,0,0,0,0,0,0,0,0,96,1321,12,0,0.0,0,PFF: 1st Tm AP: 2nd Tm,EvanMi00,2016
WR,Odell Beckham Jr.,NYG,24,2,16,16,0,0,0,0,0,1,9,0,101,1367,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,BeckOd00,2016
WR,T.Y. Hilton,IND,27,4,16,16,0,0,0,0,0,0,0,0,91,1448,6,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,HiltT.00,2016
TE,Travis Kelce,KAN,27,3,16,15,0,0,0,0,0,1,-5,0,85,1125,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,KelcTr00,2016
TE,Greg Olsen,CAR,31,9,16,16,0,0,0,0,0,0,0,0,80,1073,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,OlseGr00,2016
